inPortNo,draughtDiff,draughtDiffCargo,draughtDiffTanker,period
51280,9,4,2,202011
51350,1,,,202008
52870,1,,1,202007
50350,8,2,3,202007
53000,1,1,,202009
50932,2,1,1,202007
51205,3,2,1,202008
51330,1,,,202007
52295,1,1,,202100
50030,283,109,164,202100
51770,8,6,1,202011
52350,3,3,,202007
50970,175,139,28,202010
51180,2,2,,202009
50350,4,3,1,202009
51815,30,26,4,202008
51845,45,26,16,202007
51920,3,2,,202009
50060,81,34,45,202100
50450,16,7,6,202007
51910,1,,1,202100
52090,1,1,,202007
53100,2,1,1,202010
51820,5,5,,202011
51845,39,15,21,202008
52350,7,5,2,202010
51890,13,10,3,202008
51910,2,2,,202009
52940,3,2,1,202008
50971,36,27,4,202011
51840,1,1,,202009
52270,2,,2,202008
50030,493,277,195,202011
50210,4,3,,202008
51205,1,1,,202009
51350,1,1,,202009
50970,198,153,33,202009
51855,1,1,,202008
51870,9,2,7,202009
52940,1,,,202100
53100,2,2,,202009
50790,2,,2,202007
52235,2,1,1,202009
52260,8,2,6,202011
52940,2,1,1,202010
50516,356,40,309,202009
50516,351,40,297,202011
50805,2,1,1,202011
51280,12,9,3,202009
51504,2,1,1,202010
52040,1,,1,202008
51350,1,1,,202010
51400,6,3,3,202008
50518,2,2,,202009
50600,2,,1,202010
50600,1,,,202100
50805,5,3,2,202010
51340,3,3,,202008
51865,1,,1,202011
52320,25,18,5,202008
52320,27,20,6,202100
53020,5,4,,202008
51280,11,5,2,202010
51941,14,8,6,202010
52240,20,18,,202010
53000,1,1,,202100
50450,16,11,5,202009
51815,36,30,2,202007
51820,5,4,,202007
53115,13,11,1,202011
51941,16,9,4,202007
50971,39,29,7,202009
51130,116,71,37,202007
51870,7,3,4,202008
53010,3,1,1,202010
51100,23,7,14,202007
51200,7,2,3,202007
51504,1,1,,202100
53130,6,3,1,202100
50971,35,24,7,202010
51130,135,84,42,202008
52297,1,,1,202010
50350,2,,1,202011
50730,20,12,8,202007
52320,31,21,7,202010
51890,10,9,1,202010
52240,22,19,1,202100
51330,1,,,202009
51803,9,9,,202007
50517,4,2,1,202008
50380,28,13,14,202010
50518,2,2,,202100
51100,25,3,16,202011
53000,1,1,,202007
51910,6,4,2,202010
52870,3,,2,202009
53133,6,3,2,202100
52870,2,1,,202008
50925,1,1,,202008
51830,2,2,,202010
53010,3,1,1,202011
50450,14,8,6,202011
50510,3,3,,202007
51770,2,2,,202100
51910,3,2,1,202011
51941,21,13,7,202008
52240,17,14,1,202007
50518,5,3,2,202007
50518,5,4,1,202010
50785,19,6,13,202009
51254,5,3,2,202100
52235,2,1,1,202008
50600,1,1,,202008
50650,1,,1,202008
53000,2,2,,202011
50070,1,1,,202007
50250,1,1,,202100
51260,4,,2,202008
51815,26,18,6,202010
50040,3,1,,202011
51810,6,6,,202011
52260,7,1,6,202100
52320,34,21,8,202007
50730,17,12,5,202011
51205,2,2,,202100
51920,3,1,2,202010
52220,1,1,,202010
50785,22,6,15,202100
52510,2,2,,202008
53133,6,4,2,202009
52295,5,4,1,202007
51040,39,28,10,202008
52440,1,,1,202007
52510,1,,1,202010
52870,2,1,1,202100
51200,7,1,5,202009
51220,33,14,17,202008
51770,8,6,2,202007
51890,15,10,3,202007
50030,694,430,241,202009
51205,1,1,,202010
51845,51,20,26,202011
52297,1,,,202007
51770,5,4,,202010
52230,2,1,1,202008
52350,7,6,1,202009
52695,1,1,,202100
50055,867,548,279,202007
52510,2,,1,202009
51260,4,,3,202007
50040,3,1,1,202009
50300,12,10,2,202011
50970,167,137,22,202007
51840,1,1,,202010
51910,2,1,1,202007
52090,1,1,,202100
51254,3,2,1,202011
52295,4,2,1,202008
52240,17,14,1,202008
50700,3,1,2,202100
52230,2,2,,202009
noPort,1182,787,330,202008
51254,4,3,1,202009
52040,1,,1,202011
50805,7,4,3,202009
51504,1,1,,202007
51820,10,9,1,202008
50650,1,1,,202007
51100,20,2,14,202008
52270,1,,1,202011
52440,1,,1,202100
53130,6,4,1,202011
50441,3,2,1,202009
51840,1,,1,202011
51865,1,,1,202009
50140,10,4,4,202007
50510,1,,1,202008
50140,14,9,3,202008
50785,23,5,15,202007
51220,28,16,10,202007
51320,2,2,,202100
52235,1,,1,202007
50060,78,35,40,202011
50930,1,,1,202007
51845,40,18,15,202009
50441,6,2,2,202010
50517,2,1,1,202100
51010,5,2,2,202100
51320,3,2,,202008
51180,2,2,,202008
50805,4,2,2,202100
52065,12,5,6,202010
53133,6,3,2,202011
52350,3,3,,202100
53115,11,7,2,202008
51200,10,1,8,202010
51280,5,3,,202100
51803,9,10,,202008
51890,10,8,2,202011
52940,2,2,,202007
53020,8,6,2,202010
50510,4,3,1,202010
50518,5,3,2,202011
50925,1,1,,202010
50935,109,41,64,202011
50517,1,1,,202007
50790,1,,1,202008
51803,6,6,,202009
51830,4,3,1,202011
51920,3,1,1,202007
53020,8,4,3,202100
50300,14,8,5,202100
51504,2,2,,202011
52065,20,12,7,202008
52240,21,21,1,202011
51815,16,16,,202100
52065,13,9,3,202007
50040,2,,1,202100
51100,16,4,11,202100
53130,4,3,,202007
50210,2,2,,202007
51040,37,28,4,202011
51180,1,1,,202010
52695,1,,1,202009
50441,3,1,2,202100
51254,4,4,,202008
51865,1,,1,202010
52510,2,,2,202011
50120,1,,,202011
50070,1,1,,202010
50510,2,2,,202100
50518,6,4,2,202008
51010,4,2,2,202010
51400,7,4,3,202010
52295,3,2,1,202010
50650,3,1,2,202009
50300,12,5,4,202007
51100,23,4,18,202009
51910,5,3,1,202008
50140,10,7,3,202100
50300,15,7,6,202010
50350,2,1,,202100
50517,2,2,,202010
51010,5,3,2,202007
52680,1,1,,202009
52870,1,,1,202011
50340,1,1,,202010
50441,4,2,1,202007
50930,2,2,,202008
51200,10,,10,202100
52230,1,1,,202010
52523,1,1,,202010
50441,3,1,1,202008
50210,3,3,,202100
50350,5,4,1,202010
50340,2,1,,202009
50805,3,3,,202007
50935,145,70,67,202010
51830,5,4,,202100
52065,9,4,4,202100
53133,4,2,2,202007
noPort,1124,739,330,202009
50070,1,,1,202100
51350,1,,1,202007
52350,5,2,3,202011
53133,8,4,3,202008
52235,1,,1,202010
51040,33,27,4,202100
51280,8,2,2,202008
51830,8,8,,202007
51920,3,,1,202100
50516,367,36,328,202008
53100,1,,1,202100
50030,654,378,252,202010
51820,4,4,,202010
50516,279,31,243,202100
51130,137,95,34,202011
52295,2,2,,202009
51400,9,5,3,202011
53020,9,5,3,202007
51870,14,5,8,202011
51920,2,1,1,202011
51810,2,2,,202100
50785,23,8,15,202010
50790,1,1,,202009
52720,16,5,10,202011
50935,155,75,73,202009
53130,8,4,2,202008
51815,30,24,5,202011
52940,2,2,,202011
50100,1,1,,202009
50450,12,6,5,202100
50700,8,5,3,202008
51340,1,1,,202010
51941,13,7,5,202011
52720,15,7,8,202100
50380,25,16,9,202100
50517,2,2,,202011
51800,1,,,202008
52695,1,,1,202010
52760,1,1,,202100
53020,6,2,4,202009
51130,119,79,32,202009
51280,13,8,3,202007
51220,33,12,19,202100
52720,15,5,9,202007
50805,3,2,1,202008
51400,9,3,5,202009
51810,5,5,,202007
51810,9,9,,202008
52240,22,20,1,202009
50970,188,153,24,202011
51400,10,4,5,202100
50040,1,,,202010
51130,108,81,24,202010
51803,6,5,,202100
50935,108,47,56,202100
53100,2,,2,202007
50970,205,162,30,202008
51865,1,,1,202008
52230,5,5,,202100
50040,1,1,,202007
50510,1,1,,202011
51770,3,3,,202009
51040,33,28,4,202007
51845,48,21,23,202010
51941,9,6,3,202100
50140,13,7,6,202009
50340,3,2,1,202011
52297,2,,1,202100
52680,1,1,,202008
51010,6,3,3,202008
51200,9,3,5,202008
53100,1,1,,202008
50340,2,2,,202008
51020,1,1,,202010
50510,3,2,1,202009
51260,4,1,2,202009
52940,2,1,1,202009
50300,9,6,3,202008
53100,1,1,,202011
50730,26,16,8,202010
52270,1,1,,202007
50600,1,1,,202007
50600,1,1,,202011
51220,29,12,13,202011
51845,56,26,25,202100
50180,1,,1,202100
51040,33,27,6,202009
51040,33,24,7,202010
52260,6,1,5,202009
50700,4,1,2,202011
50785,24,4,19,202008
52320,31,19,9,202009
50971,47,29,16,202100
52260,5,1,4,202008
51260,6,,5,202010
51340,3,2,1,202011
51770,5,4,,202008
50925,1,,,202009
51890,10,7,2,202009
52297,1,,1,202009
53130,6,4,1,202009
noPort,708,457,211,202100
52065,12,8,4,202009
50055,783,504,239,202009
50516,383,52,324,202007
50350,6,2,3,202008
50030,872,571,279,202007
53130,6,4,1,202010
50380,29,13,13,202008
51320,4,3,1,202010
51010,4,2,1,202009
51350,2,1,1,202100
52140,1,1,,202008
50060,62,25,35,202008
50971,28,18,5,202007
51180,3,2,,202100
51220,34,14,17,202009
51320,4,2,2,202009
51254,2,2,,202010
53115,11,9,1,202009
50140,14,3,9,202011
50380,31,15,15,202009
51340,2,2,,202100
52680,1,1,,202011
51320,2,1,1,202011
50060,68,32,33,202009
51484,1,1,,202007
52720,15,5,9,202009
50060,57,27,25,202007
51070,1,,,202007
52260,6,2,2,202010
53010,6,4,1,202100
50930,1,,1,202010
51130,140,103,29,202100
51220,34,17,14,202010
53010,3,2,1,202008
53010,4,2,2,202009
50055,770,500,234,202010
51010,8,4,4,202011
51340,2,2,,202009
51400,9,5,4,202007
51502,1,,1,202100
51803,6,5,1,202010
50730,24,18,5,202009
51340,2,1,1,202007
52065,16,9,7,202011
51820,4,3,,202100
52320,27,17,7,202011
52720,15,6,9,202010
51815,28,20,6,202009
noPort,964,622,286,202011
50441,3,2,1,202011
51254,3,2,1,202007
51830,6,5,1,202009
52230,2,2,,202011
52695,2,1,1,202011
50300,14,9,3,202009
50340,2,1,1,202007
50971,44,30,11,202008
51840,1,,1,202008
52760,2,2,,202009
50040,2,1,1,202008
51205,5,3,1,202011
51260,5,,4,202100
52090,1,1,,202008
52870,2,1,1,202010
50450,14,7,5,202008
50700,6,2,4,202010
50055,673,415,229,202011
50380,30,20,8,202011
51180,2,2,,202011
51820,2,2,,202009
50700,4,2,2,202007
50935,140,60,70,202007
53115,12,10,1,202100
50055,825,517,266,202008
50450,22,11,10,202010
50970,206,168,27,202100
51260,5,,5,202011
52230,2,2,,202007
52350,4,3,1,202008
noPort,1218,819,330,202010
50100,1,1,,202100
50140,14,5,8,202010
53010,7,5,1,202007
53133,6,4,1,202010
50060,66,23,37,202010
50070,1,1,,202008
50785,18,2,14,202011
51200,5,,5,202011
51803,7,7,,202011
51810,5,4,,202010
51830,6,4,1,202008
52220,1,1,,202100
noPort,1267,831,361,202007
50516,343,40,295,202010
50935,149,70,77,202008
51870,9,5,4,202010
50030,737,475,235,202008
50380,30,13,14,202007
51810,11,10,,202009
51890,8,6,1,202100
51941,14,9,3,202009
50055,642,390,219,202100
51870,13,3,8,202007
53115,12,9,1,202007
50730,24,16,8,202008
51870,15,5,9,202100
51100,25,7,17,202010
52660,2,2,,202008
50070,1,1,,202009
50700,6,3,3,202009
52090,1,,1,202009
53020,7,5,,202011
51320,1,,1,202007
51920,2,2,,202008
52260,2,,2,202007
52720,13,8,5,202008
53115,10,7,1,202010
50210,1,1,,202009
50730,12,6,6,202100
51484,1,,1,202008
52510,1,1,,202100
