inPortNo,draughtDiff,draughtDiffCargo,draughtDiffTanker,period
50350,1,,1.0999999999999996,201909
50600,1,0.09999999999999964,,201911
52320,49,43.30000000000001,21.800000000000004,201908
51254,3,0.40000000000000036,2.7,201909
52235,2,,4.300000000000001,201911
52235,4,2.000000000000001,3.8999999999999995,202000
51870,14,5.300000000000002,14.500000000000002,201907
51870,15,0.5,14.7,201910
51941,12,5.199999999999999,2.7,201911
52090,1,0.8000000000000007,,201911
52680,1,,0.39999999999999947,201910
53115,15,16.9,2.9000000000000004,201911
50350,2,,2.6999999999999993,201910
51200,5,2.6999999999999997,3.6999999999999993,201908
51220,20,18.0,24.0,201910
51910,8,4.799999999999999,0.7000000000000002,202000
52220,2,9.0,,202000
52695,2,,2.1000000000000005,201910
51815,44,52.8,2.7,201908
52297,1,,1.0,201907
50935,119,228.70000000000005,98.00000000000001,201909
50971,31,15.3,9.899999999999999,201908
50060,56,21.59999999999999,51.4,201911
50517,2,,1.0999999999999996,201911
50730,13,6.799999999999999,11.200000000000001,202000
51254,1,0.1999999999999993,,202000
51910,4,0.40000000000000036,2.3000000000000007,201910
52510,3,0.10000000000000053,1.2999999999999998,201907
50730,29,38.6,5.1000000000000005,201910
52065,16,21.000000000000004,10.899999999999999,201909
52350,1,0.20000000000000018,,201911
52695,1,,,202000
53130,5,2.2,,201909
50650,2,0.39999999999999947,2.200000000000001,201909
52040,2,2.6999999999999993,,201911
52350,2,6.0,,202000
52510,2,,2.7000000000000006,201908
51100,19,9.6,21.099999999999998,201908
52720,16,7.4,13.5,202000
51350,2,0.10000000000000053,0.5,201910
51400,9,7.700000000000002,4.000000000000001,201908
51220,33,43.2,29.199999999999996,201909
53010,5,9.6,0.3000000000000007,201911
51840,1,,0.09999999999999964,201911
51845,32,12.100000000000001,26.9,202000
52220,2,0.8999999999999995,,201910
52240,18,49.7,1.0,201908
53000,2,1.6000000000000005,,201910
50040,2,3.4000000000000012,,201911
52270,1,0.7000000000000002,,201909
52295,3,5.900000000000001,0.40000000000000036,201911
52480,1,2.2,,201911
53130,4,1.1999999999999993,,201907
50350,1,,,201907
51205,1,1.4999999999999996,,201911
51941,13,11.099999999999998,2.9000000000000004,201909
50441,4,9.0,2.0999999999999996,201910
50510,3,2.6999999999999993,,201911
51330,1,,1.2000000000000002,201911
51870,17,7.900000000000001,8.199999999999996,202000
53010,5,3.6999999999999984,1.0999999999999996,202000
51350,1,1.5999999999999996,,201909
52065,10,9.0,4.1,202000
52940,2,0.7999999999999998,,201911
50935,138,301.5000000000001,120.19999999999997,201911
52065,16,25.39999999999999,1.1999999999999993,201911
50300,19,9.5,6.0,202000
50650,2,,4.800000000000001,201907
51180,3,4.2,0.9000000000000004,201907
51820,9,2.5,1.5,201910
51845,57,37.3,22.5,201907
52940,1,2.0,,201910
52523,1,,0.09999999999999964,201907
50935,116,199.79999999999995,89.69999999999999,201907
51320,3,2.3999999999999995,1.9999999999999996,201909
51845,51,49.00000000000001,46.099999999999994,201908
50340,2,,2.000000000000001,201907
51810,12,14.800000000000004,,201909
50040,1,1.5999999999999996,,202000
51803,7,2.7000000000000006,,201910
52240,15,39.6,1.9,201909
51803,8,11.4,5.5,201911
50120,1,0.2999999999999998,,201909
50517,2,0.39999999999999947,,201907
50971,33,17.300000000000004,11.999999999999998,201907
52235,2,1.0,1.4,201908
52240,23,90.70000000000002,1.5,202000
52720,12,1.7000000000000006,13.7,201911
53020,3,0.6999999999999993,,202000
50250,1,,,201907
51180,5,7.399999999999999,0.19999999999999973,201908
51830,3,2.2,,201908
53020,8,2.7000000000000015,2.2,201907
51010,6,8.2,2.700000000000002,201907
50510,1,1.5,,201907
51815,46,63.80000000000002,1.3000000000000016,201910
52090,1,,0.8000000000000003,201907
53133,9,8.600000000000001,8.899999999999999,202000
51810,13,23.7,2.0,201910
51941,13,7.500000000000002,2.5,201907
50340,1,1.1,,201910
50785,33,10.0,31.9,201907
51504,1,,0.7000000000000011,201909
50700,3,0.7000000000000002,5.1000000000000005,201909
52240,23,52.7,3.0999999999999996,201910
52695,2,,0.7999999999999994,201911
50805,5,2.7,3.0,201907
51010,3,2.6,1.9,202000
51100,21,6.399999999999999,22.9,201911
52230,1,1.5999999999999996,,201908
52260,5,,10.799999999999999,201911
52295,1,,0.20000000000000018,202000
53115,13,12.500000000000004,2.9000000000000004,201910
52260,5,2.6000000000000005,4.200000000000002,202000
51890,10,10.000000000000004,,202000
52523,1,,0.6000000000000001,202000
51770,4,7.8,,202000
52295,9,8.2,2.3,201910
52270,1,2.0,,201910
51010,2,12.000000000000002,,201911
52230,3,0.39999999999999947,1.7999999999999998,201909
52510,4,1.5,1.1,202000
53130,5,1.8000000000000007,1.8000000000000003,202000
50040,1,,,201909
50040,2,4.8,,201910
52230,4,0.6000000000000005,,201910
50450,20,13.400000000000004,16.199999999999996,201911
51850,1,2.0,,202000
51920,4,1.7999999999999998,0.9000000000000004,201909
52295,10,21.199999999999996,4.300000000000001,201909
52510,3,2.0999999999999996,2.500000000000001,201909
50300,27,15.000000000000004,8.7,201910
50700,4,13.6,2.799999999999999,201911
50971,28,17.9,6.400000000000002,202000
50516,356,62.90000000000001,683.5000000000001,201910
51180,2,8.5,,201910
51920,4,1.7999999999999994,0.6999999999999997,201908
50517,1,0.09999999999999964,,201910
51815,22,23.799999999999997,2.8999999999999995,202000
51855,1,1.0,,202000
51100,23,9.500000000000002,32.400000000000006,201909
52140,1,1.7000000000000002,,201907
50930,1,,,202000
51920,3,2.4,,202000
52297,2,,2.5,201909
52760,1,0.5,,201911
50040,1,0.9000000000000004,,201907
51130,125,162.19999999999996,45.900000000000006,201909
51865,2,,,201908
53000,1,0.5,,201911
50120,1,1.2000000000000002,,201910
50180,1,,0.20000000000000018,201909
50250,1,3.7,,201910
51770,15,5.299999999999999,1.5,201907
51830,3,1.5000000000000004,0.29999999999999893,201910
50045,1,,,201908
50517,4,0.20000000000000018,1.4999999999999991,201908
51803,9,5.199999999999998,,201909
52680,2,0.20000000000000107,,201911
50730,26,19.0,14.200000000000003,201911
51130,104,141.1,28.9,201908
51803,6,9.600000000000001,,202000
50700,3,13.0,2.0,201907
50730,35,36.699999999999996,9.3,201907
52220,2,0.5999999999999996,,201907
52297,2,1.7999999999999998,1.5,201910
50805,4,3.499999999999999,6.199999999999999,201910
51010,5,9.799999999999999,1.3000000000000007,201910
52260,5,2.799999999999999,5.1000000000000005,201909
52295,1,5.3999999999999995,,201907
50055,804,775.9000000000003,469.4999999999997,201910
