inPortNo,draughtDiff,draughtDiffCargo,draughtDiffTanker,period
51815,65,59,6,202004
50040,5,3,1,202004
51800,1,1,,202003
52295,1,1,,202001
52870,1,,1,202005
51280,5,,1,202003
noPort,1246,840,301,202001
50450,14,7,5,202001
52220,2,,2,202005
50450,19,8,9,202003
51920,2,1,1,202005
52220,4,2,2,202001
53010,5,3,,202001
51180,,,1,202003
51220,23,1,22,202002
51320,2,1,,202005
51815,109,95,10,202001
52240,10,8,1,202003
52090,1,1,,202001
52350,1,1,,202001
50441,7,4,1,202001
50790,2,,2,202002
51260,3,,3,202001
51800,1,1,,202001
50210,1,1,,202001
50350,5,2,1,202006
52510,1,,1,202001
50055,1006,671,295,202004
50380,44,29,14,202002
50600,1,1,,202001
50805,2,2,,202006
51803,23,23,,202004
52870,1,,1,202004
50516,441,68,363,202001
51920,1,,1,202002
51941,8,8,,202004
50140,37,24,11,202001
50450,18,12,4,202004
50517,2,,1,202004
50971,33,24,8,202001
51770,8,8,,202004
50971,34,26,8,202004
53020,7,2,2,202001
51200,4,,4,202006
51205,1,,1,202004
51770,5,5,,202006
50040,1,,1,202005
51820,1,1,,202004
52760,1,1,,202001
50517,7,7,,202002
51845,69,35,28,202004
52523,1,,1,202002
51220,25,1,24,202001
52320,10,9,,202006
52870,1,,1,202003
52870,2,1,1,202006
53010,5,4,1,202003
50518,1,,1,202005
50517,6,4,2,202003
51870,21,13,8,202004
50935,71,27,42,202005
51810,21,21,,202002
51200,6,,6,202001
51504,3,1,1,202002
51865,2,2,,202006
51803,30,30,,202001
50450,13,7,5,202006
51850,1,1,,202003
51890,5,3,1,202005
52235,3,2,1,202001
53050,1,,,202005
51280,3,3,,202001
52230,1,1,,202003
52680,1,,1,202001
52350,1,1,,202003
50930,1,1,,202002
52660,2,2,,202004
50610,1,,1,202002
50730,11,6,4,202004
50935,69,29,39,202002
51502,1,,1,202003
50350,2,,2,202005
51020,1,1,,202003
52350,1,1,,202004
51830,2,1,1,202004
52760,2,1,1,202004
51820,3,2,1,202002
51020,1,,,202005
51400,1,,,202005
50340,3,2,1,202006
51890,7,4,,202001
53115,3,3,,202004
50700,1,1,,202001
51200,6,,5,202003
51280,1,,1,202004
52090,2,2,,202003
52760,1,1,,202003
50060,46,23,18,202004
52065,7,2,4,202004
50730,16,11,5,202005
51855,1,1,,202002
50100,1,1,,202002
50971,20,18,2,202006
50935,74,21,46,202006
51820,1,1,,202001
52695,1,,1,202001
53115,4,4,,202001
50300,25,4,17,202004
51320,1,,1,202003
51504,1,1,,202001
51840,1,1,,202002
52090,1,1,,202004
51040,11,10,1,202006
52295,2,1,,202003
50730,16,13,2,202003
53133,1,,1,202005
51855,1,1,,202006
53115,6,6,,202006
51340,1,1,,202003
52090,1,,1,202002
51100,34,9,20,202005
50518,3,2,1,202004
50935,65,25,33,202001
51400,2,,1,202001
51180,2,1,,202005
51280,5,2,1,202002
50140,27,23,2,202003
51070,1,,1,202006
52220,3,1,2,202004
51941,13,9,3,202002
52510,2,1,,202004
50925,2,2,,202002
50925,1,,1,202005
50120,2,1,1,202003
50380,34,22,11,202001
51330,1,,1,202004
50730,19,9,8,202001
52720,6,3,3,202004
53020,6,2,2,202005
50055,974,644,294,202005
51130,153,111,28,202004
51941,5,4,1,202003
51941,5,4,1,202006
51040,18,16,,202005
53115,3,3,,202005
50030,671,449,207,202005
50518,3,1,2,202003
52295,3,2,,202002
52720,7,,7,202005
50250,1,,,202003
52240,2,2,,202002
52260,2,,2,202006
50340,3,,3,202004
52297,2,1,,202002
52940,1,1,,202004
53115,7,7,,202002
51820,3,3,,202006
50350,2,,1,202001
51941,9,5,4,202005
50140,20,13,6,202005
50518,3,2,1,202006
51830,3,2,1,202002
51890,4,3,1,202006
50030,894,623,251,202003
50030,764,561,184,202006
52260,3,,2,202004
50730,16,10,5,202006
50030,883,601,263,202002
51040,11,9,1,202001
52140,1,1,,202002
51180,1,1,,202001
50510,2,1,1,202001
51400,4,,2,202004
53100,2,2,,202005
50060,72,37,29,202006
50970,130,109,15,202006
51205,4,3,1,202003
51830,5,3,1,202001
51850,1,1,,202005
52240,1,,1,202006
50790,1,,1,202001
51830,5,4,1,202006
51870,32,22,7,202002
52320,28,19,6,202003
52760,2,2,,202002
53115,6,6,,202003
51100,24,5,17,202001
52065,11,4,7,202002
51180,3,2,,202002
51890,7,3,1,202003
50340,4,2,2,202003
50231,1,,,202004
51010,1,1,,202003
51130,157,128,22,202002
50045,1,1,,202001
52320,32,20,10,202001
51484,1,1,,202002
50380,38,22,15,202006
52320,35,25,7,202004
50340,4,,4,202005
52040,1,,1,202006
52240,9,6,3,202004
52065,10,1,8,202001
52350,2,2,,202005
53020,5,3,1,202004
51803,28,27,,202002
51920,2,1,1,202003
