inPortNo,draughtDiff,draughtDiffCargo,draughtDiffTanker,period
51815,65,213.70000000000002,3.2,202004
51280,5,,0.09999999999999964,202003
noPort,1246,2221.8,607.8,202001
50340,4,,5.799999999999997,202005
52040,1,,1.9000000000000004,202006
52240,9,6.1,3.5999999999999996,202004
50935,74,35.099999999999994,70.10000000000001,202006
51820,1,3.7,,202001
52695,1,,0.7000000000000002,202001
50030,671,362.09999999999997,390.60000000000014,202005
50518,3,3.0999999999999996,3.3999999999999986,202003
52295,3,4.1000000000000005,,202002
52720,7,,14.5,202005
50140,20,55.7,14.600000000000003,202005
50518,3,5.1000000000000005,0.20000000000000018,202006
51830,3,1.3000000000000007,2.5999999999999996,202002
51890,4,3.9999999999999987,0.2999999999999998,202006
50700,1,0.2999999999999998,,202001
51200,6,,9.7,202003
51280,1,,0.5,202004
52090,2,2.0,,202003
52760,1,1.2000000000000002,,202003
50060,63,29.800000000000022,39.900000000000006,202005
50380,45,125.50000000000003,13.999999999999998,202003
50517,7,15.599999999999998,,202002
51845,69,128.49999999999997,43.900000000000006,202004
52523,1,,0.10000000000000009,202002
51220,25,4.199999999999999,50.300000000000004,202001
52320,10,9.900000000000002,,202006
52870,1,,11.8,202003
52870,2,0.10000000000000053,0.3000000000000007,202006
51100,24,18.500000000000004,54.2,202001
52065,11,2.7,13.5,202002
50380,38,88.89999999999999,24.999999999999996,202006
52320,35,30.7,6.999999999999998,202004
52065,10,3.0,17.1,202001
52350,2,1.7000000000000002,,202005
53020,5,1.2000000000000002,4.299999999999999,202004
50350,5,6.199999999999999,5.4,202004
51040,23,11.200000000000003,6.700000000000001,202002
51810,22,118.79999999999998,,202001
51815,95,339.4,8.700000000000003,202002
52350,3,1.2999999999999998,,202006
52510,4,3.0,,202002
50516,395,92.69999999999999,665.0000000000007,202003
50930,2,6.9,0.5999999999999996,202003
51260,3,,20.599999999999994,202004
50350,3,,3.4000000000000004,202003
51180,4,5.3,1.700000000000001,202004
51254,2,0.3999999999999999,,202001
51770,12,37.7,1.799999999999999,202001
52270,,3.3,,202004
53020,3,0.1999999999999993,,202006
51803,30,145.5,,202001
50510,1,,1.0999999999999996,202003
50970,140,159.6,13.100000000000001,202003
51010,2,0.7000000000000002,0.1999999999999993,202004
51100,24,25.3,39.2,202006
51810,22,104.99999999999999,,202006
51870,18,47.300000000000004,6.400000000000001,202005
51910,3,0.20000000000000018,,202003
51845,79,233.79999999999993,56.59999999999999,202001
52320,25,21.499999999999996,6.5,202005
50231,2,,1.0,202003
50516,388,84.49999999999999,654.3000000000001,202002
52260,5,3.5999999999999996,4.199999999999999,202001
50450,19,13.100000000000003,12.5,202003
51920,2,0.20000000000000018,2.4000000000000004,202005
52220,4,1.5000000000000013,1.7000000000000002,202001
53010,5,5.3999999999999995,,202001
50100,1,5.299999999999999,,202002
50971,20,19.9,3.8000000000000003,202006
50510,2,0.7000000000000002,1.6000000000000005,202001
51400,4,,1.3000000000000003,202004
53100,2,0.7999999999999994,,202005
50045,1,,,202003
50441,5,16.900000000000002,1.6999999999999997,202002
50785,23,0.20000000000000018,39.900000000000006,202006
51920,3,1.9,1.0999999999999996,202004
51200,6,,10.0,202001
51504,3,1.7999999999999998,0.8000000000000007,202002
51865,2,6.000000000000001,,202006
50971,31,25.600000000000005,5.7,202005
51100,29,23.9,50.70000000000001,202003
51130,159,191.29999999999993,34.10000000000001,202001
51200,9,,14.300000000000004,202004
52065,8,2.8000000000000007,7.400000000000001,202005
50340,4,1.1999999999999993,6.499999999999999,202003
51910,6,3.400000000000001,1.9,202005
51865,4,15.4,,202001
51910,2,,4.300000000000001,202001
50516,370,57.300000000000004,646.6000000000003,202005
51220,24,,42.1,202006
51865,1,2.3,,202004
52295,1,,0.5,202006
noPort,921,1487.8000000000006,491.2000000000001,202005
50970,145,131.79999999999998,31.1,202005
51845,45,82.0,27.700000000000003,202006
52235,2,1.2999999999999998,,202004
53130,1,,,202005
50441,6,9.3,5.199999999999999,202006
50935,63,44.6,48.6,202004
50380,46,95.69999999999999,17.600000000000005,202004
51770,17,38.900000000000006,,202002
51840,2,,3.5,202003
51865,2,5.4,,202003
51205,1,,1.4000000000000004,202006
51254,1,3.6000000000000005,,202005
51500,1,,,202003
51815,64,215.19999999999993,10.599999999999998,202005
51840,3,7.999999999999999,2.7,202004
50805,11,19.5,5.8999999999999995,202001
50300,25,6.6,12.5,202004
51320,1,,1.5000000000000004,202003
51504,1,0.09999999999999787,,202001
51840,1,7.499999999999999,,202002
52090,1,0.5999999999999996,,202004
50300,18,4.8999999999999995,3.500000000000001,202006
50450,17,18.099999999999998,9.3,202005
50785,57,29.5,90.90000000000002,202002
53133,2,0.20000000000000107,2.0,202003
50210,1,0.10000000000000009,,202001
50350,5,0.29999999999999893,3.0,202006
52510,1,,0.2999999999999998,202001
51400,2,,0.09999999999999964,202006
noPort,754,1139.6999999999998,320.80000000000007,202006
50925,2,3.1999999999999993,,202002
50140,28,65.5,5.699999999999999,202004
51770,5,1.5,3.000000000000001,202005
53010,5,7.000000000000001,1.1999999999999997,202003
51920,3,,8.0,202001
51320,1,,,202006
noPort,873,1551.4000000000003,486.3,202004
50650,2,2.0,,202002
50790,1,0.6999999999999997,,202005
51130,154,173.20000000000002,37.8,202005
50970,160,167.99999999999994,14.5,202002
50971,32,33.7,3.4000000000000004,202003
52720,7,,10.5,202002
53133,1,0.40000000000000036,,202006
51180,3,2.0,,202002
51890,7,1.1999999999999993,1.0,202003
51280,3,1.3999999999999986,,202001
52230,1,1.2999999999999998,,202003
52680,1,,2.3,202001
51800,2,2.5999999999999996,,202006
51810,29,128.20000000000002,,202004
50340,3,,7.400000000000002,202004
52297,2,0.20000000000000018,,202002
52940,1,0.7000000000000002,,202004
51020,1,,,202005
51400,1,,,202005
50700,1,,0.5999999999999996,202004
53020,9,,1.600000000000001,202003
53133,2,0.6000000000000005,,202004
50340,3,,3.6999999999999993,202002
50070,1,3.5999999999999996,,202006
50441,4,2.299999999999999,5.1,202004
51200,9,,7.8999999999999995,202002
53115,3,1.5999999999999996,,202005
53115,4,5.700000000000001,,202001
50350,2,,3.0,202005
51020,1,2.8,,202003
52350,1,1.4000000000000004,,202004
50930,1,2.0,,202002
52660,2,0.7999999999999998,,202004
50231,1,,2.0,202001
