inPortNo,numVisit,numVisitCargo,numVisitTanker,period
51205,8,1,4,201909
51320,13,1,9,201911
50100,10,4,0,202000
51870,69,27,34,201907
51870,78,27,35,201910
50930,47,30,12,201911
51941,53,28,21,201911
53115,56,51,3,201911
52090,5,1,4,201911
51855,15,6,6,201909
52680,1,0,1,201910
50650,5,3,2,201911
52320,145,90,44,201911
51130,477,317,83,202000
52235,11,6,4,201911
51254,7,5,2,201909
52235,7,4,2,202000
50650,25,20,4,202000
51205,14,2,5,202000
50700,2,1,0,202000
53000,2,2,0,201909
51130,478,337,79,201908
51803,21,18,2,202000
50730,91,54,30,201911
51501,7,2,0,201911
53100,9,3,0,201907
51860,3,1,2,201910
50610,2,2,0,201910
50231,14,0,9,202000
51830,62,21,6,201909
51910,29,14,10,201910
50730,66,37,22,202000
50517,26,5,7,201911
52510,15,4,7,201907
51020,4,2,1,202000
51254,12,9,1,202000
52440,1,0,1,201909
50790,15,2,4,201907
51400,24,9,10,202000
51501,58,43,12,202000
52040,11,4,6,201908
51340,8,5,3,201910
52560,1,0,1,201908
50730,88,56,23,201910
52065,47,23,17,201909
53130,9,6,0,201909
52350,7,5,2,201911
52695,17,0,6,202000
51200,54,2,39,202000
50100,5,2,0,201907
53010,22,10,3,201909
51484,5,0,0,201911
51205,9,1,4,201908
52260,41,14,21,202000
51100,120,32,62,201908
50925,83,57,21,202000
52720,68,14,31,202000
51810,31,31,0,201908
53115,31,22,1,201908
50060,499,197,65,201908
51200,51,5,44,201910
53130,18,4,4,201911
50180,1,0,1,201908
53050,6,2,0,201909
52270,9,6,1,201907
52140,2,0,2,201911
51340,7,4,3,201911
51100,112,30,52,201910
51810,26,25,1,201911
52940,8,3,4,202000
51330,1,0,1,201910
50805,34,8,18,201910
52260,41,10,25,201909
51010,15,6,6,201910
52295,14,9,5,201907
51070,9,7,2,201909
50055,6231,1483,3584,201910
50060,505,261,46,201907
51040,93,64,16,201909
50055,8675,2240,4344,201911
52523,18,1,1,201911
50070,6,5,1,201908
50300,123,39,47,201911
52295,12,6,4,201908
52680,8,5,1,202000
50300,120,49,53,201907
50700,5,2,3,201908
52440,1,1,0,201910
50350,192,56,42,202000
51860,5,1,2,201907
50932,32,17,11,201911
50700,7,2,5,201910
50340,62,17,4,201909
53010,23,10,2,201908
53050,25,5,4,202000
51855,20,6,7,201910
50610,70,58,7,202000
51020,7,3,1,201911
50055,5918,1481,3242,201909
51850,4,3,0,201910
