inPortNo,totalTraffic,totalTrafficCargo,totalTrafficTanker,period
50380,98,38,47,201900
51815,243,197,25,201900
50300,71,28,26,201906
53133,13,6,5,201906
51810,45,40,3,201901
51850,7,2,3,201903
52235,6,5,1,201900
51130,397,274,75,201901
50610,4,3,0,201906
51040,82,56,18,201902
51810,36,35,1,201904
50120,7,2,2,201904
52440,2,2,0,201900
52065,43,20,18,201906
51350,4,1,3,201902
51870,54,25,27,201900
51803,60,56,2,201900
51770,31,26,3,201904
50140,120,62,45,201902
50120,11,7,1,201906
51010,16,9,2,201902
noPort,3281,1820,876,201906
51815,214,175,17,201906
51815,254,217,18,201905
52065,49,21,24,201902
50518,15,7,7,201906
51860,3,1,1,201905
53130,15,10,2,201901
52270,12,3,2,201903
50650,8,3,1,201900
50180,1,0,0,201901
51870,83,42,32,201905
50930,12,4,7,201905
50790,10,1,9,201901
52940,6,4,1,201904
53010,14,7,1,201902
50055,2942,1602,1037,201902
50805,24,11,11,201900
50730,86,49,31,201903
51030,1,0,0,201905
52295,9,7,2,201906
51855,10,5,3,201902
52720,46,15,26,201902
50350,38,9,16,201901
52940,2,0,1,201905
51860,2,0,2,201900
50180,3,0,1,201906
51910,12,7,4,201904
51910,18,7,4,201902
51010,15,6,5,201906
50045,4,1,0,201906
50650,7,1,3,201902
50441,19,9,8,201905
50300,74,34,27,201902
53020,50,11,14,201903
51820,24,8,2,201901
50510,2,1,1,201900
50180,2,0,2,201902
51840,9,1,5,201900
51130,351,234,77,201900
53115,25,20,3,201901
51865,11,10,0,201902
51070,15,8,1,201903
51290,3,2,0,201904
50971,215,137,59,201906
53010,20,13,2,201903
50932,10,3,4,201902
50925,5,2,2,201905
52065,47,21,22,201904
50730,90,45,33,201904
51502,3,0,0,201904
51120,1,0,0,201904
53130,9,5,1,201906
50055,3099,1696,1092,201901
50140,104,54,33,201904
50925,6,4,1,201903
52320,90,54,26,201906
51845,199,94,80,201903
50517,19,8,9,201901
53050,8,3,2,201900
51100,110,28,54,201903
50330,1,0,0,201901
52660,4,0,0,201900
51890,41,23,5,201901
52040,2,2,0,201902
50925,10,5,3,201906
51910,20,13,6,201903
52870,7,1,2,201903
50971,249,178,50,201901
50045,5,3,2,201903
52510,13,3,3,201902
50935,239,89,112,201906
52220,13,5,4,201906
51850,9,6,2,201900
52240,47,39,5,201905
51920,8,3,3,201904
53000,1,1,0,201901
50730,87,38,40,201900
53020,31,6,9,201906
52297,6,0,4,201904
50785,117,17,95,201904
51320,5,2,3,201905
50932,12,4,7,201905
51865,6,5,1,201900
51400,19,5,8,201905
51040,86,60,14,201904
50100,4,2,0,201905
50231,4,0,3,201904
52270,3,1,0,201900
50040,4,0,2,201900
50700,6,1,4,201903
51484,5,0,2,201901
51020,3,2,0,201906
51254,10,6,2,201902
52320,109,70,29,201902
51770,38,32,1,201900
50140,93,43,39,201900
53020,38,10,9,201902
51850,4,2,2,201906
51855,11,3,3,201901
50120,8,5,2,201905
51504,16,4,6,201901
50045,3,1,1,201901
52695,8,0,4,201904
52090,3,2,1,201906
52230,4,2,1,201904
50210,4,2,1,201905
51350,5,2,0,201901
50652,1,1,0,201900
51803,75,71,0,201903
51860,5,0,3,201903
51320,10,6,3,201901
51920,7,1,4,201900
50930,18,6,7,201902
50790,8,0,8,201900
53100,5,1,2,201902
51484,4,0,1,201902
53115,36,30,3,201903
50055,3,2,1,
50441,23,11,8,201900
50440,6,2,3,201901
52297,6,2,4,201903
52480,2,2,0,201903
51803,58,56,2,201905
51820,25,8,4,201900
50510,3,1,1,201902
52660,1,0,0,201906
50380,105,52,44,201902
51803,59,55,2,201906
51320,14,5,8,201903
51020,4,3,0,201903
50030,2394,1249,936,201905
51070,14,7,4,201902
52090,2,2,0,201901
52235,7,3,2,201906
51280,17,8,6,201902
50100,6,1,2,201903
51850,3,1,1,201902
50785,157,31,122,201902
51330,4,1,2,201903
51845,214,120,73,201902
50510,4,1,2,201906
51501,6,0,1,201905
51850,3,2,1,201904
52040,7,3,1,201901
50060,172,67,80,201906
50350,39,2,16,201904
51180,11,2,2,201901
51205,9,2,5,201900
51330,3,1,1,201901
51800,3,2,0,201906
50140,119,59,43,201905
51010,15,5,4,201905
52297,2,0,2,201905
51500,3,1,0,201904
51870,93,55,36,201903
50180,3,1,0,201904
52235,5,2,2,201903
52760,1,1,0,201906
53100,5,3,0,201906
51330,1,0,1,201905
50030,2290,1262,858,201906
51020,3,2,0,201901
noPort,3521,2022,876,201905
50450,63,28,31,201903
51290,4,0,0,201906
51280,24,7,9,201906
52220,13,5,5,201904
50231,2,0,2,201900
53100,5,1,1,201901
50805,30,15,10,201902
50060,171,75,71,201903
51845,212,102,78,201906
52230,10,7,3,201902
51130,404,272,93,201905
52523,2,0,1,201902
53130,10,7,1,201902
52510,7,1,3,201906
51484,6,1,1,201906
50971,236,166,46,201904
51941,42,24,11,201900
50450,53,27,23,201904
50120,8,4,2,201903
50210,8,2,3,201901
50210,9,5,2,201906
51501,4,2,0,201904
51500,3,1,0,201901
50518,5,5,0,201903
52660,1,0,0,201903
50700,5,0,4,201901
52720,38,13,21,201904
50600,5,2,2,201904
51860,4,0,0,201901
51855,13,6,5,201905
50231,2,0,2,201906
53000,1,1,0,201900
50040,12,0,4,201906
52870,6,0,1,201906
52523,2,0,1,201904
51030,2,1,0,201904
53133,12,6,4,201905
50517,15,7,4,201904
53010,17,11,2,201900
51260,37,3,14,201902
50790,13,3,9,201902
50517,14,4,4,201906
51400,17,4,8,201906
51200,29,2,25,201904
51830,25,7,6,201904
52940,5,2,1,201906
51350,3,0,1,201900
50350,35,5,14,201902
52480,3,1,0,201901
51502,3,2,0,201902
53000,1,1,0,201905
51120,1,1,0,201900
51845,201,107,67,201905
51040,74,49,11,201906
52720,53,16,30,201900
50610,7,2,0,201904
51820,30,10,6,201906
51220,86,24,51,201901
53100,5,3,1,201903
50450,1,0,0,
50730,76,34,34,201905
51810,52,47,1,201903
51850,6,5,1,201905
51320,3,2,1,201900
53050,5,0,0,201902
51254,6,6,0,201905
52695,12,1,6,201903
51800,7,4,0,201905
53000,1,1,0,201906
50231,8,1,6,201901
50055,2818,1550,939,201904
52220,14,7,4,201902
51820,22,9,2,201902
51280,24,6,9,201901
52270,5,3,0,201902
50030,2304,1287,874,201900
50380,96,54,37,201904
52090,7,3,3,201905
51070,6,3,1,201901
50070,9,7,2,201901
52870,6,0,1,201904
52090,3,2,1,201900
52295,11,9,1,201904
50100,1,0,0,201901
51803,58,55,2,201904
50380,100,48,39,201906
51484,2,0,0,201904
51280,15,5,4,201900
52065,53,23,25,201905
